open_time,open,high,low,close,volume,close_time,qoute_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1735689600000000,3337.78000000,3368.42000000,3313.88000000,3341.00000000,87522.33990000,1735732799999999,292453417.60088100,468312,44830.54170000,149847463.99938000,0
1735732800000000,3341.01000000,3374.85000000,3323.03000000,3360.38000000,102716.24620000,1735775999999999,344159978.09508400,713907,54687.48000000,183237794.28808200,0
1735776000000000,3360.39000000,3476.00000000,3354.50000000,3471.18000000,149035.32480000,1735819199999999,509164733.73331800,872832,76328.62890000,260773928.22641400,0
1735819200000000,3471.18000000,3509.99000000,3421.79000000,3455.67000000,189597.56260000,1735862399999999,657121498.42956400,1500243,92715.73380000,321387127.29555100,0
1735862400000000,3455.68000000,3477.03000000,3423.44000000,3465.62000000,90049.33690000,1735905599999999,310776584.95614300,651319,45336.51120000,156534712.91330100,0
1735905600000000,3465.61000000,3630.00000000,3461.26000000,3609.01000000,243991.72350000,1735948799999999,869177316.14567100,1642492,123857.56380000,441147513.11766100,0
1735948800000000,3609.00000000,3620.86000000,3572.42000000,3602.01000000,88118.41700000,1735991999999999,316749591.53806200,533945,46736.10350000,168012876.23001000,0
1735992000000000,3602.01000000,3671.60000000,3592.06000000,3656.88000000,141147.89630000,1736035199999999,513115213.32177500,1033910,70087.04480000,254837984.85687600,0
1736035200000000,3656.88000000,3675.25000000,3603.33000000,3613.47000000,66794.28180000,1736078399999999,242528490.97254300,612083,33749.57410000,122553376.45151500,0
1736078400000000,3613.46000000,3656.88000000,3593.70000000,3635.99000000,88649.89230000,1736121599999999,321619081.82812600,849109,43151.80170000,156581978.81849100,0
1736121600000000,3636.00000000,3698.04000000,3610.63000000,3654.52000000,130192.54260000,1736164799999999,476177259.63199800,1109624,63314.61110000,231607530.35100500,0
1736164800000000,3654.51000000,3744.83000000,3622.10000000,3687.45000000,199449.82220000,1736207999999999,734465563.67007100,1644249,103510.00850000,381215241.60354600,0
1736208000000000,3687.44000000,3700.86000000,3625.55000000,3639.27000000,86582.76100000,1736251199999999,317547349.23613500,692659,40967.13460000,150286091.54272000,0
1736251200000000,3639.28000000,3645.95000000,3356.31000000,3381.31000000,454960.52640000,1736294399999999,1581771406.92188100,2846042,213586.31560000,742607184.47808900,0
1736294400000000,3381.31000000,3415.10000000,3306.41000000,3349.79000000,225011.11460000,1736337599999999,755587239.56043100,1639037,105938.14080000,355818153.98640600,0
1736337600000000,3349.78000000,3386.36000000,3208.20000000,3327.29000000,359738.84810000,1736380799999999,1188794948.09622800,2127160,169639.08610000,560441624.43197300,0
1736380800000000,3327.29000000,3357.27000000,3265.77000000,3301.41000000,169517.02730000,1736423999999999,562044843.36974500,1247759,81662.00750000,270840672.49866200,0
1736424000000000,3301.41000000,3337.00000000,3158.00000000,3219.20000000,332301.39740000,1736467199999999,1076913836.34462300,2438130,156131.72710000,506344437.58401700,0
1736467200000000,3219.20000000,3321.25000000,3213.74000000,3311.65000000,151332.92520000,1736510399999999,495826986.12590200,1178368,73328.56230000,240210615.61002400,0
