open_time,open,high,low,close,volume,close_time,qoute_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1735689600000000,3337.78000000,3353.37000000,3335.84000000,3349.43000000,3468.84120000,1735691399999999,11605696.39300100,28800,2026.43190000,6780192.51461000,0
1735691400000000,3349.43000000,3365.71000000,3349.01000000,3363.70000000,5425.60320000,1735693199999999,18215575.61521000,25490,3421.10050000,11484836.26654900,0
1735693200000000,3363.69000000,3366.40000000,3351.11000000,3352.79000000,3194.76270000,1735694999999999,10730643.92026700,23624,1833.51910000,6159514.95449000,0
1735695000000000,3352.80000000,3358.28000000,3342.67000000,3346.54000000,2943.37490000,1735696799999999,9864336.69487900,23098,1548.10850000,5189049.31926700,0
1735696800000000,3346.54000000,3354.57000000,3346.35000000,3349.94000000,2427.45680000,1735698599999999,8134471.81032600,21800,1380.43550000,4625815.91367600,0
1735698600000000,3349.94000000,3368.42000000,3349.93000000,3362.61000000,6348.35320000,1735700399999999,21326947.78099900,23126,3369.56350000,11319217.57264800,0
1735700400000000,3362.61000000,3363.72000000,3351.64000000,3354.51000000,2400.90770000,1735702199999999,8064174.00599900,12721,1238.97870000,4161348.71121000,0
1735702200000000,3354.51000000,3357.15000000,3351.00000000,3355.20000000,1624.55690000,1735703999999999,5449871.14752700,9613,881.58220000,2957382.84071400,0
1735704000000000,3355.20000000,3356.61000000,3346.03000000,3348.21000000,2310.61640000,1735705799999999,7740385.20761800,10387,1128.05730000,3778972.81245900,0
1735705800000000,3348.21000000,3350.36000000,3339.45000000,3341.14000000,2316.03420000,1735707599999999,7747776.68735100,11954,1203.61580000,4026724.16706300,0
1735707600000000,3341.14000000,3351.18000000,3340.02000000,3350.01000000,1479.08030000,1735709399999999,4949273.13921600,12260,950.77350000,3181476.09832000,0
1735709400000000,3350.01000000,3351.57000000,3344.32000000,3345.41000000,1767.98180000,1735711199999999,5918118.39424800,9128,943.23040000,3157463.45645400,0
1735711200000000,3345.41000000,3348.00000000,3339.01000000,3344.00000000,2045.60200000,1735712999999999,6838218.69419200,12732,1043.34180000,3487544.27543800,0
1735713000000000,3344.00000000,3346.61000000,3336.88000000,3346.60000000,4279.54710000,1735714799999999,14302476.92637300,12909,1030.94460000,3446458.44159500,0
1735714800000000,3346.61000000,3346.61000000,3339.35000000,3341.59000000,3904.93750000,1735716599999999,13052233.37879100,11762,2545.40450000,8508042.37671300,0
1735716600000000,3341.58000000,3350.49000000,3341.03000000,3347.12000000,1964.48360000,1735718399999999,6572834.85481300,8047,1393.62080000,4663439.11295700,0
1735718400000000,3347.11000000,3348.84000000,3331.56000000,3337.85000000,3319.33900000,1735720199999999,11085117.97685000,17817,1341.13850000,4478593.10466400,0
1735720200000000,3337.85000000,3342.66000000,3333.30000000,3337.01000000,5150.63610000,1735721999999999,17193649.55304600,28235,2496.79690000,8333841.64889800,0
1735722000000000,3337.00000000,3341.00000000,3313.88000000,3322.34000000,15263.62220000,1735723799999999,50719432.03101500,55031,6835.36390000,22714578.77872600,0
1735723800000000,3322.38000000,3335.00000000,3319.60000000,3334.64000000,3459.07020000,1735725599999999,11509989.90412700,28391,1678.88500000,5587380.45543400,0
1735725600000000,3334.83000000,3338.82000000,3328.55000000,3332.96000000,3725.48460000,1735727399999999,12417567.10870700,19627,1367.39560000,4559248.31055200,0
1735727400000000,3332.96000000,3337.29000000,3325.70000000,3326.69000000,1969.46560000,1735729199999999,6560169.75395600,17729,756.52900000,2520205.47550800,0
1735729200000000,3326.69000000,3335.60000000,3323.71000000,3335.60000000,3349.83050000,1735730999999999,11155227.71107300,22370,2290.29080000,7627384.92064500,0
1735731000000000,3335.60000000,3348.35000000,3334.41000000,3341.00000000,3382.75220000,1735732799999999,11299228.91129700,21661,2125.43340000,7098752.47079000,0
1735732800000000,3341.01000000,3351.54000000,3338.58000000,3350.75000000,3024.72650000,1735734599999999,10120363.54898800,20364,1859.39260000,6222000.96465400,0
1735734600000000,3350.74000000,3352.31000000,3344.32000000,3347.46000000,2842.16880000,1735736399999999,9516688.34040500,21288,1545.54480000,5175018.62722400,0
1735736400000000,3347.46000000,3353.50000000,3332.51000000,3336.29000000,3963.34670000,1735738199999999,13245069.03895300,24294,1945.90030000,6503014.57972000,0
1735738200000000,3336.28000000,3343.77000000,3334.63000000,3343.37000000,2668.88500000,1735739999999999,8915048.11207700,17831,1592.92540000,5320747.68319100,0
1735740000000000,3343.37000000,3359.37000000,3337.28000000,3337.58000000,5466.68040000,1735741799999999,18297915.21885600,54115,2469.28980000,8267766.44344800,0
1735741800000000,3337.47000000,3349.74000000,3328.20000000,3345.86000000,5262.30080000,1735743599999999,17573102.42616700,38841,2832.94710000,9465119.61317800,0
1735743600000000,3345.86000000,3351.00000000,3333.42000000,3338.80000000,3621.45390000,1735745399999999,12106340.09480900,22064,1819.90330000,6084648.15665800,0
1735745400000000,3338.80000000,3355.91000000,3337.50000000,3352.93000000,4050.17810000,1735747199999999,13560302.09491000,39427,2425.49800000,8120946.21959200,0
1735747200000000,3352.93000000,3357.19000000,3343.36000000,3345.07000000,5298.24530000,1735748999999999,17745879.75354200,47503,2470.08770000,8274025.03003400,0
1735749000000000,3345.07000000,3346.27000000,3332.26000000,3338.68000000,4599.54170000,1735750799999999,15357355.10394000,33084,2005.73070000,6695976.08091700,0
1735750800000000,3338.68000000,3340.00000000,3323.03000000,3334.01000000,3705.70510000,1735752599999999,12343973.41607500,42361,1968.77190000,6559366.48359300,0
1735752600000000,3334.01000000,3344.81000000,3332.26000000,3343.70000000,2539.91680000,1735754399999999,8478661.75910400,22817,1621.34640000,5412506.40638200,0
1735754400000000,3343.71000000,3345.00000000,3333.26000000,3338.82000000,2906.19060000,1735756199999999,9698180.72005400,25927,1677.72630000,5598329.93558400,0
1735756200000000,3338.81000000,3352.00000000,3338.52000000,3348.57000000,4665.73410000,1735757999999999,15617279.68319300,34161,2675.48910000,8955598.98313700,0
1735758000000000,3348.57000000,3354.38000000,3343.15000000,3345.00000000,4179.22980000,1735759799999999,13993210.87762600,35884,2227.11370000,7457721.81427000,0
1735759800000000,3345.00000000,3364.14000000,3337.92000000,3356.55000000,8070.29610000,1735761599999999,27058736.41491500,46988,4899.85290000,16432401.82432900,0
1735761600000000,3356.56000000,3362.07000000,3352.00000000,3354.25000000,5474.54870000,1735763399999999,18384518.43479900,27128,3727.41750000,12517419.31469400,0
1735763400000000,3354.26000000,3362.60000000,3352.08000000,3360.40000000,3573.91940000,1735765199999999,11999120.75748100,22086,2290.06000000,7688801.89027700,0
1735765200000000,3360.41000000,3371.39000000,3353.76000000,3367.82000000,5094.42620000,1735766999999999,17121363.17514200,24921,2627.83460000,8833874.65785000,0
1735767000000000,3367.81000000,3369.22000000,3359.64000000,3368.39000000,3188.81910000,1735768799999999,10727794.18681500,16352,1702.97450000,5728907.58173100,0
1735768800000000,3368.39000000,3374.85000000,3359.00000000,3368.78000000,5277.37470000,1735770599999999,17769414.81697100,22031,2986.17320000,10055266.13629300,0
1735770600000000,3368.77000000,3369.33000000,3359.30000000,3361.63000000,7117.74880000,1735772399999999,23958262.13885600,18399,2094.77990000,7050910.84292300,0
